	Glo01	Glo02	Glo03	Glo04	Glo05	Glo06	Glo07	Glo08	Glo09	Glo10	Glo11	Glo12	Glo13	Glo14	Glo15	Glo16	Glo17	Glo18	Glo19	Glo20	Glo21	Glo22	Glo23	Glo24	Glo25	Glo26	Glo27	Glo28	Glo29	Glo30	Glo31	Glo32	Glo33	Glo34	Glo35	Glo36	Glo37	Glo38	Glo39	Glo40	Glo41	Glo42	Glo43	Glo44	Glo45	Glo46	Glo47	Glo48	Glo49
LN040	0.058	0.228	0.018	0.007	0.060	0.047	0.004	0.000	0.122	0.000	0.043	0.001	0.041	0.036	0.007	0.001	0.018	0.012	0.000	0.000	0.034	0.000	0.000	0.000	0.000	0.081	0.102	0.000	0.000	0.000	0.007	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LN041	0.000	0.002	0.000	0.000	0.000	0.000	0.011	0.000	0.000	0.002	0.000	0.207	0.000	0.000	0.000	0.070	0.112	0.011	0.000	0.000	0.035	0.059	0.242	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.018	0.000	0.046	0.000	0.002	0.009	0.048	0.040	0.000	0.002	0.026	0.004	0.000	0.037	0.002	0.000	0.000	0.011	0.002
LN042	0.000	0.023	0.002	0.000	0.001	0.000	0.007	0.016	0.015	0.002	0.001	0.094	0.000	0.000	0.005	0.121	0.054	0.021	0.036	0.012	0.004	0.054	0.119	0.010	0.000	0.018	0.008	0.024	0.005	0.011	0.001	0.014	0.001	0.006	0.008	0.005	0.055	0.014	0.041	0.033	0.075	0.000	0.001	0.022	0.002	0.011	0.007	0.000	0.039
LN043	0.024	0.046	0.017	0.004	0.027	0.011	0.048	0.023	0.006	0.008	0.009	0.097	0.005	0.008	0.013	0.007	0.026	0.006	0.008	0.009	0.016	0.019	0.000	0.002	0.001	0.036	0.082	0.072	0.026	0.015	0.023	0.040	0.023	0.016	0.023	0.023	0.034	0.002	0.036	0.017	0.027	0.003	0.004	0.018	0.009	0.000	0.019	0.006	0.005
LN044	0.028	0.057	0.008	0.004	0.013	0.006	0.041	0.016	0.020	0.015	0.015	0.049	0.005	0.005	0.013	0.051	0.030	0.009	0.011	0.014	0.019	0.021	0.050	0.017	0.033	0.028	0.030	0.021	0.003	0.016	0.003	0.048	0.006	0.007	0.025	0.022	0.015	0.007	0.023	0.045	0.030	0.000	0.006	0.025	0.023	0.011	0.009	0.010	0.035
LN045	0.023	0.050	0.015	0.003	0.008	0.014	0.037	0.015	0.015	0.015	0.010	0.048	0.001	0.002	0.031	0.031	0.024	0.014	0.019	0.003	0.018	0.025	0.058	0.008	0.032	0.043	0.057	0.032	0.020	0.017	0.013	0.025	0.016	0.013	0.013	0.017	0.013	0.006	0.019	0.026	0.027	0.019	0.010	0.009	0.009	0.017	0.018	0.017	0.021
LN046	0.010	0.001	0.037	0.000	0.032	0.013	0.081	0.032	0.047	0.020	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.015	0.000	0.004	0.016	0.000	0.000	0.011	0.000	0.078	0.116	0.078	0.063	0.038	0.014	0.068	0.016	0.029	0.006	0.020	0.011	0.005	0.015	0.000	0.000	0.004	0.013	0.029	0.019	0.037	0.014	0.000	0.005
LN047	0.037	0.044	0.005	0.008	0.015	0.012	0.044	0.006	0.031	0.039	0.086	0.087	0.007	0.003	0.051	0.060	0.029	0.018	0.000	0.000	0.016	0.052	0.080	0.012	0.000	0.019	0.051	0.001	0.001	0.007	0.020	0.007	0.007	0.001	0.006	0.007	0.025	0.009	0.030	0.002	0.002	0.002	0.002	0.008	0.005	0.000	0.001	0.006	0.042
LN048	0.069	0.061	0.013	0.010	0.003	0.011	0.063	0.006	0.005	0.000	0.062	0.036	0.038	0.036	0.014	0.000	0.001	0.004	0.013	0.013	0.000	0.031	0.007	0.001	0.049	0.011	0.044	0.008	0.001	0.019	0.035	0.001	0.000	0.000	0.002	0.012	0.048	0.015	0.022	0.023	0.000	0.041	0.008	0.027	0.009	0.027	0.018	0.039	0.046
LN049	0.054	0.043	0.020	0.002	0.017	0.017	0.028	0.025	0.051	0.014	0.028	0.054	0.000	0.009	0.026	0.023	0.025	0.016	0.008	0.006	0.003	0.005	0.014	0.006	0.017	0.026	0.047	0.016	0.002	0.008	0.016	0.028	0.006	0.008	0.047	0.029	0.025	0.006	0.062	0.039	0.026	0.002	0.011	0.033	0.006	0.019	0.014	0.003	0.012
LN050	0.013	0.000	0.016	0.013	0.022	0.028	0.022	0.019	0.044	0.006	0.016	0.031	0.000	0.000	0.003	0.022	0.044	0.003	0.009	0.025	0.025	0.041	0.031	0.006	0.000	0.059	0.059	0.100	0.000	0.000	0.000	0.034	0.009	0.006	0.016	0.037	0.013	0.003	0.053	0.006	0.041	0.022	0.034	0.022	0.000	0.000	0.003	0.003	0.041
LN051	0.035	0.038	0.020	0.000	0.007	0.011	0.028	0.026	0.022	0.009	0.030	0.062	0.005	0.012	0.032	0.039	0.018	0.005	0.008	0.003	0.009	0.016	0.047	0.014	0.020	0.028	0.058	0.025	0.009	0.016	0.009	0.030	0.013	0.012	0.026	0.012	0.026	0.001	0.054	0.049	0.025	0.004	0.003	0.007	0.008	0.012	0.026	0.005	0.026
LN052	0.042	0.066	0.000	0.015	0.003	0.006	0.027	0.045	0.033	0.018	0.021	0.003	0.003	0.009	0.024	0.015	0.060	0.006	0.018	0.015	0.009	0.006	0.024	0.009	0.027	0.021	0.084	0.009	0.003	0.009	0.018	0.063	0.006	0.009	0.033	0.039	0.039	0.015	0.009	0.024	0.015	0.003	0.003	0.000	0.009	0.009	0.009	0.036	0.036
LN053	0.035	0.031	0.004	0.000	0.010	0.011	0.037	0.019	0.019	0.026	0.044	0.080	0.000	0.003	0.024	0.049	0.010	0.011	0.006	0.000	0.012	0.035	0.118	0.010	0.010	0.000	0.028	0.017	0.007	0.004	0.000	0.018	0.021	0.010	0.029	0.035	0.012	0.011	0.025	0.057	0.057	0.011	0.000	0.011	0.004	0.004	0.017	0.006	0.014
LN054	0.027	0.000	0.000	0.000	0.027	0.020	0.001	0.002	0.006	0.001	0.025	0.011	0.000	0.000	0.029	0.042	0.043	0.004	0.017	0.018	0.010	0.010	0.044	0.011	0.002	0.116	0.078	0.080	0.055	0.041	0.027	0.053	0.006	0.001	0.017	0.017	0.020	0.010	0.041	0.006	0.004	0.002	0.012	0.002	0.026	0.012	0.002	0.000	0.023
LN055	0.017	0.173	0.015	0.003	0.001	0.006	0.048	0.008	0.021	0.052	0.027	0.023	0.038	0.016	0.021	0.074	0.055	0.004	0.013	0.000	0.011	0.000	0.042	0.012	0.025	0.004	0.002	0.003	0.000	0.021	0.000	0.000	0.000	0.000	0.032	0.004	0.041	0.014	0.044	0.064	0.003	0.001	0.001	0.006	0.008	0.000	0.000	0.000	0.047
LN056	0.036	0.199	0.031	0.001	0.000	0.000	0.032	0.005	0.004	0.018	0.040	0.027	0.049	0.006	0.015	0.109	0.027	0.004	0.031	0.000	0.010	0.014	0.052	0.012	0.000	0.053	0.009	0.012	0.000	0.017	0.000	0.006	0.000	0.000	0.007	0.000	0.010	0.003	0.000	0.016	0.009	0.012	0.027	0.030	0.009	0.000	0.000	0.000	0.059
LN057	0.053	0.148	0.018	0.014	0.002	0.000	0.014	0.003	0.002	0.026	0.029	0.000	0.005	0.010	0.008	0.077	0.053	0.000	0.026	0.005	0.023	0.000	0.013	0.011	0.029	0.021	0.079	0.060	0.023	0.019	0.019	0.014	0.000	0.000	0.021	0.011	0.005	0.000	0.005	0.006	0.063	0.000	0.019	0.026	0.027	0.002	0.002	0.000	0.010
LN058	0.008	0.160	0.000	0.009	0.000	0.000	0.001	0.009	0.019	0.009	0.006	0.069	0.025	0.008	0.005	0.074	0.077	0.008	0.011	0.010	0.003	0.020	0.060	0.007	0.000	0.054	0.010	0.031	0.028	0.036	0.003	0.012	0.005	0.003	0.006	0.008	0.037	0.004	0.002	0.039	0.062	0.000	0.007	0.021	0.012	0.010	0.009	0.000	0.004
LN059	0.018	0.073	0.006	0.004	0.005	0.000	0.009	0.007	0.031	0.016	0.024	0.036	0.011	0.005	0.016	0.070	0.050	0.019	0.014	0.001	0.011	0.017	0.064	0.014	0.025	0.040	0.068	0.036	0.011	0.025	0.005	0.021	0.000	0.005	0.026	0.016	0.025	0.007	0.012	0.040	0.019	0.008	0.020	0.017	0.007	0.002	0.009	0.004	0.031
LN060	0.016	0.171	0.009	0.002	0.000	0.003	0.008	0.001	0.049	0.001	0.039	0.011	0.032	0.007	0.008	0.069	0.034	0.007	0.012	0.005	0.010	0.003	0.013	0.000	0.018	0.019	0.157	0.033	0.035	0.007	0.003	0.030	0.004	0.014	0.035	0.008	0.022	0.000	0.003	0.002	0.000	0.005	0.010	0.020	0.000	0.000	0.000	0.009	0.052
LN061	0.030	0.060	0.002	0.002	0.019	0.012	0.011	0.027	0.029	0.006	0.032	0.013	0.055	0.005	0.002	0.026	0.044	0.026	0.009	0.005	0.000	0.012	0.028	0.036	0.039	0.030	0.007	0.044	0.014	0.019	0.000	0.001	0.008	0.022	0.002	0.022	0.035	0.022	0.006	0.063	0.035	0.002	0.032	0.036	0.024	0.007	0.003	0.024	0.012
LN062	0.032	0.211	0.013	0.006	0.006	0.010	0.048	0.026	0.022	0.004	0.004	0.052	0.034	0.005	0.013	0.009	0.020	0.011	0.000	0.000	0.020	0.063	0.004	0.002	0.000	0.039	0.096	0.000	0.000	0.000	0.000	0.045	0.000	0.000	0.000	0.000	0.000	0.003	0.041	0.076	0.067	0.000	0.000	0.000	0.000	0.015	0.003	0.000	0.000
LN063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.120	0.000	0.107	0.000	0.000	0.013	0.120	0.013	0.000	0.000	0.000	0.000	0.200	0.107	0.000	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.147	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.107
LN064	0.026	0.045	0.009	0.001	0.011	0.013	0.021	0.013	0.021	0.013	0.024	0.028	0.001	0.001	0.019	0.027	0.021	0.016	0.011	0.003	0.012	0.036	0.049	0.013	0.019	0.033	0.069	0.036	0.018	0.022	0.002	0.020	0.005	0.020	0.019	0.010	0.026	0.014	0.073	0.039	0.036	0.013	0.012	0.020	0.009	0.016	0.012	0.004	0.018
LN065	0.013	0.047	0.004	0.005	0.013	0.004	0.019	0.014	0.019	0.022	0.001	0.036	0.004	0.000	0.021	0.050	0.037	0.022	0.020	0.005	0.019	0.032	0.086	0.017	0.027	0.043	0.027	0.049	0.019	0.010	0.001	0.019	0.005	0.022	0.030	0.002	0.033	0.019	0.001	0.045	0.016	0.014	0.010	0.022	0.004	0.011	0.005	0.016	0.040
LN066	0.021	0.124	0.013	0.001	0.006	0.007	0.029	0.011	0.021	0.011	0.020	0.023	0.003	0.004	0.028	0.009	0.015	0.006	0.000	0.002	0.013	0.026	0.011	0.011	0.001	0.056	0.109	0.027	0.014	0.024	0.008	0.024	0.004	0.025	0.037	0.024	0.018	0.007	0.048	0.041	0.032	0.008	0.014	0.011	0.008	0.008	0.011	0.015	0.011
LN067	0.020	0.020	0.002	0.000	0.013	0.000	0.004	0.000	0.008	0.002	0.032	0.001	0.015	0.003	0.026	0.092	0.029	0.013	0.048	0.009	0.001	0.000	0.009	0.000	0.029	0.021	0.100	0.100	0.028	0.035	0.008	0.051	0.019	0.023	0.000	0.012	0.013	0.008	0.039	0.002	0.045	0.006	0.008	0.034	0.003	0.006	0.002	0.000	0.057
LN068	0.011	0.011	0.043	0.000	0.012	0.004	0.015	0.027	0.022	0.003	0.079	0.010	0.018	0.007	0.041	0.119	0.021	0.012	0.033	0.003	0.000	0.002	0.091	0.007	0.012	0.005	0.011	0.022	0.022	0.022	0.016	0.000	0.014	0.000	0.000	0.018	0.037	0.013	0.005	0.001	0.044	0.001	0.013	0.016	0.018	0.030	0.000	0.000	0.087
LN069	0.037	0.037	0.000	0.000	0.008	0.019	0.017	0.001	0.044	0.042	0.050	0.018	0.000	0.000	0.021	0.063	0.006	0.033	0.041	0.000	0.033	0.004	0.083	0.007	0.013	0.057	0.032	0.004	0.009	0.028	0.006	0.001	0.000	0.000	0.038	0.030	0.025	0.012	0.004	0.110	0.001	0.001	0.000	0.001	0.018	0.002	0.000	0.001	0.045
LN070	0.100	0.100	0.015	0.000	0.000	0.000	0.033	0.006	0.006	0.000	0.021	0.021	0.024	0.006	0.003	0.012	0.033	0.006	0.000	0.009	0.009	0.003	0.000	0.003	0.015	0.057	0.076	0.097	0.033	0.039	0.024	0.006	0.012	0.015	0.003	0.027	0.003	0.009	0.045	0.036	0.024	0.006	0.012	0.027	0.009	0.003	0.003	0.000	0.006
LN071	0.060	0.060	0.009	0.002	0.002	0.010	0.067	0.010	0.027	0.010	0.025	0.089	0.040	0.001	0.006	0.091	0.006	0.010	0.006	0.000	0.002	0.029	0.105	0.010	0.000	0.002	0.036	0.000	0.000	0.000	0.000	0.023	0.012	0.000	0.038	0.026	0.010	0.002	0.002	0.031	0.034	0.005	0.003	0.003	0.022	0.030	0.002	0.006	0.037
LN072	0.149	0.149	0.006	0.013	0.027	0.067	0.004	0.000	0.183	0.000	0.083	0.000	0.025	0.043	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.060	0.097	0.000	0.000	0.000	0.003	0.034	0.004	0.001	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LN073	0.058	0.058	0.026	0.003	0.013	0.010	0.032	0.010	0.033	0.000	0.000	0.052	0.017	0.005	0.001	0.005	0.018	0.001	0.009	0.001	0.015	0.037	0.001	0.001	0.000	0.051	0.073	0.063	0.012	0.023	0.018	0.038	0.007	0.004	0.031	0.023	0.013	0.006	0.045	0.051	0.057	0.005	0.010	0.034	0.012	0.002	0.008	0.000	0.004
LN074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.063	0.000	0.000	0.127	0.079	0.000	0.000	0.079	0.651	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LN075	0.054	0.054	0.028	0.004	0.018	0.023	0.040	0.012	0.033	0.002	0.002	0.088	0.009	0.008	0.003	0.008	0.021	0.004	0.000	0.000	0.010	0.031	0.007	0.001	0.022	0.034	0.065	0.036	0.013	0.027	0.017	0.029	0.007	0.001	0.023	0.016	0.021	0.007	0.070	0.030	0.043	0.005	0.001	0.018	0.020	0.001	0.007	0.012	0.015
LN076	0.064	0.064	0.027	0.009	0.027	0.020	0.035	0.003	0.046	0.000	0.003	0.070	0.007	0.004	0.001	0.000	0.007	0.002	0.007	0.006	0.024	0.039	0.001	0.001	0.002	0.037	0.063	0.050	0.004	0.017	0.009	0.045	0.000	0.001	0.013	0.018	0.023	0.009	0.064	0.037	0.039	0.008	0.019	0.029	0.023	0.014	0.003	0.009	0.000
LN077	0.026	0.026	0.010	0.000	0.010	0.000	0.005	0.000	0.036	0.000	0.036	0.016	0.016	0.000	0.005	0.021	0.047	0.000	0.016	0.000	0.000	0.031	0.010	0.000	0.005	0.073	0.057	0.073	0.021	0.016	0.016	0.021	0.010	0.000	0.005	0.005	0.005	0.000	0.130	0.016	0.036	0.016	0.031	0.021	0.042	0.016	0.021	0.016	0.036
LN078	0.016	0.016	0.014	0.005	0.011	0.016	0.037	0.021	0.032	0.026	0.019	0.035	0.002	0.005	0.019	0.051	0.026	0.003	0.023	0.003	0.018	0.026	0.024	0.010	0.047	0.005	0.021	0.043	0.019	0.006	0.023	0.026	0.014	0.024	0.023	0.019	0.010	0.016	0.050	0.019	0.032	0.011	0.003	0.014	0.016	0.018	0.016	0.013	0.053
LN079	0.054	0.054	0.000	0.009	0.023	0.000	0.027	0.005	0.059	0.018	0.032	0.032	0.014	0.018	0.027	0.072	0.036	0.023	0.036	0.000	0.014	0.014	0.068	0.000	0.023	0.054	0.027	0.009	0.000	0.000	0.000	0.005	0.000	0.023	0.050	0.014	0.018	0.009	0.000	0.000	0.000	0.005	0.009	0.036	0.000	0.027	0.009	0.000	0.050
LN080	0.022	0.022	0.005	0.000	0.003	0.000	0.010	0.025	0.025	0.021	0.004	0.077	0.000	0.000	0.004	0.064	0.004	0.010	0.012	0.000	0.000	0.051	0.106	0.012	0.045	0.026	0.038	0.030	0.009	0.025	0.021	0.030	0.005	0.014	0.022	0.028	0.017	0.014	0.034	0.043	0.033	0.005	0.000	0.013	0.005	0.010	0.025	0.004	0.022
